#Frame            All     All[Max]
     987      21.7145      28.8668
     988      21.6412      28.4777
     989      21.5902      28.3681
     990      21.6506      41.0407
     991      21.8123      41.8466
     992      21.7708      29.2118
     993      21.6999      40.5118
     994      21.7204      28.7744
     995      21.5098      28.2063
     996      21.5587      39.9734
     997      21.6001      41.4247
     998      21.7858      41.5247
     999      21.8555      28.6596
    1000      21.7069      28.3756
    1001      21.6897      39.7972
    1002      21.6624      27.9728
    1003      21.8162      28.8790
    1004      21.8902      28.5912
    1005      21.9932      41.6980
    1006      22.0602      29.3723
    1007      22.1539      41.9334
    1008      22.1143      28.7647
    1009      22.0928      28.5607
    1010      21.9222      28.8331
    1011      21.7727      28.5425
    1012      21.8365      28.3190
    1013      21.8491      40.2287
    1014      21.8728      41.3230
    1015      21.8696      41.1731
    1016      21.9187      40.4145
    1017      22.0807      40.7954
    1018      22.0708      28.7570
    1019      21.9928      28.6984
    1020      21.9859      28.5384
    1021      21.9827      28.8412
    1022      22.0282      41.2961
    1023      22.0596      41.3579
    1024      22.0106      29.2660
    1025      22.2105      43.1121
    1026      21.9953      42.3900
    1027      22.0410      42.6347
    1028      22.2277      42.5277
    1029      21.7948      42.2610
    1030      21.8097      42.0651
    1031      21.8045      41.8251
    1032      21.6840      41.6222
    1033      21.8391      42.9437
    1034      21.8208      41.7443
    1035      21.6832      40.7873
    1036      21.7074      41.4311
    1037      21.7967      41.5986
    1038      21.8850      41.9392
    1039      21.8734      41.6188
    1040      21.8577      42.0531
    1041      22.0593      41.9493
    1042      22.0512      42.9407
    1043      21.8373      41.9197
    1044      21.8552      42.5570
    1045      21.6328      42.4656
    1046      21.5412      41.4259
    1047      21.6012      41.5501
    1048      21.6888      29.5639
    1049      21.7210      41.7416
    1050      21.6509      42.6143
    1051      21.7475      42.2574
    1052      21.7150      41.9215
    1053      21.4750      41.3435
    1054      21.6151      43.3983
    1055      21.5951      43.2479
    1056      21.5559      41.4747
    1057      21.6651      41.5822
    1058      21.5882      41.6019
    1059      21.5926      43.3040
    1060      21.5796      41.8335
    1061      21.6693      42.8396
    1062      21.7789      43.4463
    1063      21.6932      42.9378
    1064      21.6460      43.7152
